,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,100,ZA,1566829557,72,-34.42,19.24,57.0,7.0
1,Tual,100,ID,1566829558,82,-5.67,132.75,77.28,17.72
2,Albany,1,US,1566829299,63,42.65,-73.75,68.0,4.7
3,Kahului,90,US,1566829560,83,20.89,-156.47,77.0,12.75
4,Funadhoo,100,MV,1566829562,76,6.15,73.27,82.86,8.93
5,Springbok,0,ZA,1566829563,58,-29.67,17.88,60.0,23.38
6,Thompson,90,CA,1566829564,93,55.74,-97.86,51.8,10.29
7,Avarua,95,CK,1566829565,78,-21.21,-159.78,71.6,12.75
8,Bonavista,0,CA,1566829566,65,48.65,-53.11,66.0,5.01
9,Yatou,75,CM,1566829567,83,3.63,9.81,82.4,4.7
10,Faanui,37,PF,1566829569,77,-16.48,-151.75,78.0,13.15
11,Westport,1,US,1566829570,24,41.14,-73.36,68.0,9.17
12,Lebu,58,ET,1566829571,83,8.96,38.73,63.6,2.19
13,Mataura,96,NZ,1566829572,87,-46.19,168.86,41.0,4.0
14,Arlit,100,NE,1566829573,35,18.74,7.39,94.38,6.69
15,Prado,50,CO,1566829575,29,3.75,-74.93,93.48,8.01
16,Sitka,13,US,1566829576,50,37.17,-99.65,84.48,9.13
17,Ushuaia,90,AR,1566829401,75,-54.81,-68.31,41.0,13.87
18,Puerto Ayora,75,EC,1566829578,78,-0.74,-90.35,73.4,13.87
19,Borujerd,20,IR,1566829579,10,33.89,48.76,100.4,6.93
20,Vila Franca do Campo,20,PT,1566829580,69,37.72,-25.43,75.2,12.75
21,Bambous Virieux,40,MU,1566829582,60,-20.34,57.76,71.6,12.75
22,Pangai,100,TO,1566829583,68,-19.8,-174.35,70.98,19.69
23,Nikolskoye,75,RU,1566829584,64,59.7,30.79,69.8,15.66
24,Yellowknife,40,CA,1566829585,93,62.45,-114.38,51.01,8.05
25,Lanxi,91,CN,1566829586,75,29.21,119.46,81.42,2.13
26,Alice Springs,0,AU,1566829375,37,-23.7,133.88,50.0,3.36
27,Vaini,40,IN,1566829589,78,15.34,74.49,73.4,6.93
28,Jamestown,86,AU,1566829590,75,-33.21,138.6,44.16,3.0
